# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = AssymetricWSLS_model
# start_datetime = 2025-03-04 07:58:41 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:/Users/szh/AppData/Local/Temp/RtmpWMpWHD/standata-2a1076ba5901.json
# init = 2 (Default)
# random
#   seed = 901
# output
#   file = C:/Users/szh/Desktop/ACM/ACM2024/Assignment_2/simmodels/AssymetricWSLS-202503040858-1-58f9f9.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/szh/Desktop/ACM/ACM2024/Assignment_2/simmodels/AssymetricWSLS-profile-202503040858-1-64f469.csv
#   save_cmdstan_config = false (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=AssymetricWSLS_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta_w,theta_l
# Adaptation terminated
# Step size = 0.380381
# Diagonal elements of inverse mass matrix:
# 1.57043, 1.53439
-67.3418,0.954766,0.380381,2,7,0,68.1523,0.944819,0.918326
-69.0678,0.967091,0.380381,2,7,0,70.3843,0.977635,0.617722
-67.2291,0.993189,0.380381,3,15,0,69.9777,0.827365,0.747338
-69.5374,0.766355,0.380381,1,3,0,71.3916,0.696263,0.524631
-67.3075,0.9864,0.380381,2,3,0,70.1392,0.917492,0.746184
-68.0461,0.960391,0.380381,2,3,0,68.0752,0.928315,0.637652
-69.5451,0.93562,0.380381,3,7,0,70.6391,0.61982,0.983474
-67.8174,0.993216,0.380381,3,7,0,70.0277,0.921306,0.970487
-67.1433,0.997913,0.380381,3,7,0,68.0778,0.784717,0.909617
-67.3398,0.971615,0.380381,2,7,0,67.8317,0.95173,0.829473
-66.8705,0.991458,0.380381,2,7,0,67.8507,0.851213,0.862119
-66.9003,0.997524,0.380381,3,7,0,66.9424,0.881877,0.832485
-66.8891,0.985461,0.380381,3,7,0,67.5993,0.885651,0.88227
-66.8794,0.999931,0.380381,3,7,0,66.9114,0.886072,0.856499
-67.6832,0.96975,0.380381,2,7,0,68.1338,0.960237,0.765785
-67.171,0.963996,0.380381,2,7,0,69.1524,0.890797,0.939121
-67.5119,0.988162,0.380381,2,7,0,67.8585,0.909727,0.959682
-68.0951,0.987456,0.380381,2,3,0,68.1354,0.944784,0.972934
-68.1704,0.977262,0.380381,2,7,0,70.1031,0.73558,0.656716
-66.8963,0.992966,0.380381,3,7,0,68.6457,0.895019,0.864173
-66.8973,0.997473,0.380381,3,7,0,67.0083,0.837985,0.87879
-67.1927,0.966875,0.380381,1,3,0,67.5166,0.759695,0.883793
-67.1043,0.99969,0.380381,3,7,0,67.442,0.887892,0.768289
-68.1641,0.941505,0.380381,3,7,0,68.5222,0.916595,0.980948
-69.1627,0.985289,0.380381,3,7,0,69.4102,0.969827,0.986462
-67.7745,0.962515,0.380381,3,7,0,73.359,0.95548,0.728825
-66.9945,0.993693,0.380381,2,5,0,68.0425,0.918252,0.87634
-67.202,0.98875,0.380381,1,3,0,67.4184,0.941531,0.890352
-68.0114,0.984445,0.380381,2,7,0,68.4013,0.699775,0.953005
-67.6426,1,0.380381,3,7,0,68.3266,0.872002,0.969343
-67.2293,1,0.380381,2,3,0,67.6531,0.88388,0.945586
-66.9104,0.987192,0.380381,2,7,0,68.197,0.854473,0.897397
-67.3206,0.981703,0.380381,3,7,0,67.418,0.952377,0.876081
-67.7299,0.984285,0.380381,3,7,0,68.3402,0.786659,0.682592
-66.8936,0.985846,0.380381,3,7,0,68.404,0.836969,0.871975
-69.0275,0.908658,0.380381,3,7,0,69.4517,0.986071,0.683561
-68.6932,0.937149,0.380381,2,3,0,70.1602,0.974763,0.654075
-69.2676,0.966273,0.380381,3,15,0,70.0983,0.774849,0.993368
-69.3953,0.838158,0.380381,3,7,0,72.816,0.977159,0.986394
-68.5899,1,0.380381,3,7,0,69.4703,0.953185,0.982548
-67.3204,0.994021,0.380381,2,7,0,70.0684,0.802156,0.744193
-66.9945,0.878337,0.380381,3,7,0,70.4406,0.910185,0.898427
-68.429,0.932597,0.380381,2,7,0,69.7169,0.940174,0.982652
-67.2058,0.999993,0.380381,3,7,0,68.5622,0.893404,0.748112
-67.4025,0.989242,0.380381,3,7,0,67.7529,0.93673,0.756287
-66.9688,0.996565,0.380381,2,3,0,67.5127,0.914366,0.867358
-67.1894,0.992738,0.380381,2,7,0,67.3525,0.820045,0.936407
-68.1026,0.918519,0.380381,1,3,0,68.8964,0.690746,0.954582
-67.7044,0.996716,0.380381,3,7,0,68.5587,0.789423,0.964695
-68.8892,0.900149,0.380381,2,3,0,69.5371,0.630143,0.968326
-70.2374,0.961744,0.380381,3,7,0,71.7536,0.960467,0.996492
-68.8859,0.998763,0.380381,3,7,0,70.4831,0.821945,0.991781
-66.9852,0.999837,0.380381,3,7,0,69.5253,0.830235,0.90822
-67.8176,0.921147,0.380381,2,7,0,69.2952,0.971481,0.912952
-68.3607,0.985967,0.380381,2,7,0,68.8615,0.98041,0.942339
-67.7797,0.998592,0.380381,3,15,0,68.6541,0.961941,0.7517
-67.6637,1,0.380381,1,1,0,67.7762,0.958858,0.764262
-68.1028,0.98628,0.380381,2,3,0,68.1446,0.968932,0.720166
-67.6556,0.986436,0.380381,3,7,0,69.2897,0.819456,0.967121
-67.0482,0.9947,0.380381,3,7,0,68.3108,0.912128,0.910793
-67.1904,0.956643,0.380381,2,5,0,69.0669,0.931197,0.798564
-67.0983,0.999988,0.380381,3,7,0,67.2753,0.933589,0.862184
-67.2095,0.994172,0.380381,3,7,0,67.4783,0.916678,0.766933
-67.5382,0.985399,0.380381,3,7,0,67.8604,0.929377,0.71693
-67.6416,0.993865,0.380381,3,7,0,68.1919,0.847103,0.669511
-67.458,0.96074,0.380381,3,7,0,69.4267,0.733126,0.918019
-67.6875,0.977238,0.380381,1,1,0,67.6882,0.702095,0.921626
-68.5759,0.925226,0.380381,3,7,0,69.8428,0.971973,0.971684
-67.693,0.999808,0.380381,2,3,0,68.6626,0.956835,0.941214
-68.3768,0.985266,0.380381,4,15,0,68.9933,0.960871,0.97399
-68.5006,0.998525,0.380381,1,1,0,68.5012,0.963609,0.975973
-67.6681,1,0.380381,3,7,0,68.791,0.687555,0.887048
-67.8075,0.972448,0.380381,2,3,0,68.2155,0.667859,0.872171
-68.928,0.951285,0.380381,4,15,0,70.1334,0.98563,0.961685
-67.8754,0.967658,0.380381,3,7,0,72.295,0.666729,0.816999
-67.7348,1,0.380381,1,1,0,67.902,0.685578,0.812971
-67.9623,0.974249,0.380381,1,1,0,67.9842,0.658036,0.811555
-67.9842,1,0.380381,3,7,0,68.2623,0.969194,0.943553
-68.4779,0.999706,0.380381,3,7,0,68.8634,0.987808,0.857998
-66.8672,0.992861,0.380381,4,15,0,68.7394,0.872009,0.874379
-67.458,0.979676,0.380381,2,7,0,67.539,0.908747,0.956877
-68.2772,0.984331,0.380381,3,7,0,68.8155,0.66914,0.954853
-67.1111,0.991668,0.380381,3,7,0,68.7338,0.90486,0.778101
-67.5776,0.985315,0.380381,3,7,0,67.9655,0.965324,0.887791
-68.9312,0.973071,0.380381,2,7,0,69.681,0.991834,0.811438
-68.6833,1,0.380381,2,3,0,68.9615,0.990102,0.845395
-66.9917,0.998808,0.380381,3,7,0,68.8514,0.893401,0.912699
-67.4659,0.99027,0.380381,3,7,0,67.4808,0.944935,0.935562
-67.7888,0.981751,0.380381,2,7,0,69.5103,0.972943,0.89105
-68.1726,0.98383,0.380381,3,7,0,68.6773,0.670752,0.948493
-68.108,1,0.380381,3,7,0,68.269,0.688481,0.953825
-68.4704,0.981033,0.380381,2,3,0,68.8944,0.691924,0.972052
-66.9597,0.996093,0.380381,2,7,0,68.9193,0.852591,0.910786
-67.2508,0.987431,0.380381,2,3,0,67.2706,0.785249,0.928818
-68.1153,0.948721,0.380381,3,7,0,68.3942,0.98135,0.89154
-67.8956,1,0.380381,2,3,0,68.1555,0.976844,0.860688
-67.6363,0.987582,0.380381,3,7,0,68.7768,0.690028,0.877685
-68.083,0.920567,0.380381,3,7,0,70.0429,0.925288,0.629768
-67.4486,1,0.380381,2,3,0,68.2315,0.900447,0.706086
-67.4888,0.999448,0.380381,3,7,0,67.7246,0.887054,0.961969
-67.7525,0.977219,0.380381,3,7,0,68.8159,0.694391,0.923005
-66.9426,0.717802,0.380381,2,3,0,72.1146,0.907851,0.874515
-66.8947,0.995942,0.380381,3,7,0,67.1703,0.840088,0.879762
-67.273,0.972474,0.380381,3,7,0,68.2381,0.92201,0.759439
-69.8304,0.867159,0.380381,2,3,0,69.9824,0.964361,0.490406
-70.581,0.959102,0.380381,1,1,0,70.5932,0.965381,0.423949
-69.3735,1,0.380381,3,7,0,71.4433,0.983099,0.981239
-69.2724,0.996905,0.380381,3,15,0,69.5123,0.626311,0.623141
