# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = AssymetricWSLS_model
# start_datetime = 2025-03-11 07:28:39 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:/Users/szh/AppData/Local/Temp/RtmpUxxAsl/standata-560c52aa6cbe.json
# init = 2 (Default)
# random
#   seed = 901
# output
#   file = C:/Users/szh/Desktop/ACM/ACM2024/Assignment_2/simmodels/AssymetricWSLS-202503110828-2-8bf2bf.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/szh/Desktop/ACM/ACM2024/Assignment_2/simmodels/AssymetricWSLS-profile-202503110828-2-542326.csv
#   save_cmdstan_config = false (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=AssymetricWSLS_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta_w,theta_l,theta_w_prior,theta_w_posterior,theta_l_prior,theta_l_posterior,prior_w_preds,posterior_w_preds,prior_l_preds,posterior_l_preds
# Adaptation terminated
# Step size = 0.224526
# Diagonal elements of inverse mass matrix:
# 1.64543, 2.22938
-62.3288,0.993666,0.224526,4,15,0,63.0328,0.88941,0.789115,0.717433,0.708768,0.718269,0.687641,106,79,101,83
-62.2147,0.991418,0.224526,2,7,0,62.8795,0.917372,0.797565,0.803054,0.714506,0.605449,0.689453,112,93,99,82
-62.262,0.99886,0.224526,2,7,0,62.2898,0.917108,0.759924,0.807606,0.714452,0.611512,0.681337,110,86,85,73
-62.6425,0.983282,0.224526,3,11,0,63.5297,0.973267,0.864931,0.797658,0.72577,0.222565,0.70369,114,88,104,78
-62.2266,0.993625,0.224526,4,15,0,64.1874,0.935572,0.84502,0.590955,0.718204,0.326754,0.699521,110,87,103,92
-62.4112,0.981507,0.224526,3,11,0,63.8488,0.918191,0.901252,0.0965371,0.714673,0.752433,0.711207,106,82,109,91
-62.7675,0.996468,0.224526,3,7,0,62.8247,0.933051,0.942262,0.567155,0.717694,0.469031,0.719556,111,88,113,88
-63.6032,0.992067,0.224526,4,15,0,64.6091,0.970276,0.969173,0.49829,0.725174,0.406079,0.724955,113,83,112,88
-63.2736,0.99886,0.224526,2,7,0,63.9988,0.963646,0.960476,0.695287,0.723851,0.559017,0.723217,117,86,110,89
-64.3962,0.996843,0.224526,3,7,0,64.5569,0.946207,0.990184,0.0789777,0.720352,0.758592,0.729124,114,84,120,90
-64.5721,0.999565,0.224526,3,7,0,65.1718,0.891864,0.991278,0.240868,0.709275,0.332509,0.72934,109,82,119,78
-64.5533,1,0.224526,3,7,0,64.8316,0.924526,0.992009,0.704551,0.715963,0.42977,0.729484,112,86,120,93
-62.9033,0.995271,0.224526,3,15,0,65.2873,0.963346,0.937551,0.412398,0.723791,0.122623,0.718605,114,85,113,93
-64.0391,0.988553,0.224526,3,15,0,65.1832,0.972053,0.980111,0.79078,0.725529,0.332549,0.72713,116,87,120,92
-64.6619,0.998636,0.224526,4,15,0,65.2122,0.812722,0.984226,0.676781,0.692689,0.319382,0.727946,98,76,120,93
-65.9032,0.973184,0.224526,2,3,0,66.0085,0.75025,0.990564,0.684603,0.679233,0.825672,0.729199,90,90,118,87
-65.0737,0.996864,0.224526,4,15,0,66.8914,0.976944,0.992307,0.47581,0.726501,0.304392,0.729543,117,80,118,90
-63.5339,0.999983,0.224526,4,15,0,65.6042,0.885224,0.972633,0.365871,0.707904,0.382715,0.725644,107,93,118,91
-63.1726,0.996742,0.224526,3,15,0,64.1148,0.97896,0.645238,0.88254,0.726902,0.393711,0.655937,118,88,78,82
-62.6915,0.993442,0.224526,3,7,0,63.9863,0.972159,0.724175,0.20838,0.72555,0.627559,0.673526,117,89,90,82
-62.8512,0.9899,0.224526,4,15,0,63.4772,0.957845,0.624583,0.248371,0.72269,0.425741,0.65126,117,77,86,78
-62.7391,0.993435,0.224526,3,15,0,63.7511,0.977331,0.858235,0.337264,0.726578,0.830269,0.702292,120,96,100,87
-62.509,0.987184,0.224526,4,15,0,64.4472,0.956024,0.703482,0.384307,0.722325,0.377744,0.668959,109,82,83,80
-63.5462,0.983393,0.224526,3,7,0,63.5634,0.968925,0.531992,0.833647,0.724905,0.194462,0.629948,115,86,68,74
-62.293,0.980781,0.224526,2,7,0,64.9433,0.95387,0.813586,0.493729,0.721893,0.137473,0.692873,114,87,95,84
-62.2758,0.991723,0.224526,3,15,0,63.3993,0.937847,0.753348,0.175172,0.718665,0.750951,0.679908,108,76,91,78
-62.2795,0.995743,0.224526,4,15,0,62.6591,0.950838,0.835652,0.494176,0.721284,0.32532,0.697549,113,88,93,74
-62.7836,0.994584,0.224526,3,11,0,62.8233,0.870221,0.921498,0.69761,0.704792,0.694118,0.715347,105,89,116,88
-62.6867,0.998996,0.224526,4,15,0,63.3459,0.883627,0.665552,0.843517,0.707573,0.559234,0.660506,102,80,71,81
-63.3,0.985638,0.224526,3,7,0,63.6181,0.916476,0.527211,0.657504,0.714324,0.642904,0.628832,116,90,58,71
-65.217,0.958805,0.224526,4,15,0,66.2402,0.975764,0.99359,0.476745,0.726267,0.533196,0.729796,118,88,120,94
-63.743,0.997929,0.224526,4,15,0,66.2409,0.81847,0.959086,0.76181,0.693911,0.753336,0.722939,100,82,115,81
-62.9617,0.997552,0.224526,4,15,0,65.2304,0.983909,0.793603,0.276494,0.727883,0.430567,0.688604,118,87,103,81
